JDA,T_LST,TaC_60m,rh_10m,Tdp_10m,TaC_10m,baroKPa,radW/m2,netW/m2
2,10:15,-7.64,84.67,-9.74,-7.02,99.64,239.56,-60.7
2,10:30,-7.35,84.13,-9.46,-6.71,99.66,259.57,-71.27
2,10:45,-7.09,83.99,-9.29,-6.47,99.67,236.89,-68.96
2,11:00,-6.93,83.54,-9.06,-6.25,99.67,249.16,-76.43
2,11:15,-6.65,83.24,-8.86,-6,99.67,247.53,-79.89
2,11:30,-6.65,83.15,-8.87,-6.03,99.67,245.53,-81.67
2,11:45,-6.22,81.97,-8.59,-5.55,99.66,336.79,-142.32
2,12:00,-5.87,80.27,-8.5,-5.25,99.66,344.83,-122.6
2,12:15,-5.19,76.14,-8.13,-4.37,99.66,540.81,-202.49
2,12:30,-4.76,74.03,-8.12,-4.03,99.67,530.49,-65.92
2,12:45,-4.47,72.43,-8.07,-3.67,99.68,521.93,79.14
2,13:00,-4.05,71,-7.86,-3.29,99.69,499.41,147.35
2,13:15,-3.93,69.55,-7.93,-3.14,99.71,474.41,111.65
2,13:30,-3.68,69.41,-7.88,-2.99,99.73,455.34,100.51
2,13:45,-3.94,69.1,-8.24,-3.21,99.75,442.54,124.28
2,14:00,-3.87,68.09,-8.28,-3.14,99.76,421.74,118.77
2,14:15,-3.92,67.37,-8.54,-3.18,99.79,392.35,97.22
2,14:30,-3.8,67.28,-8.31,-3.03,99.82,360.67,97.38
2,14:45,-3.67,67.21,-8.26,-2.99,99.86,322.52,74.42
2,15:00,-3.97,67.06,-8.64,-3.23,99.88,250.1,42.48
2,15:15,-3.81,65.84,-8.78,-3.14,99.89,258.43,61.95
2,15:30,-3.97,66.74,-8.81,-3.29,99.91,157.56,-11.21
2,15:45,-4.08,68.02,-8.83,-3.53,99.92,113.29,-16.73
2,16:00,-4.14,68.6,-8.93,-3.69,99.91,102.54,-20.72
2,16:15,-4.45,71.41,-8.8,-4.03,99.9,95.72,-39.38
2,16:30,-4.59,72.18,-8.9,-4.25,99.89,81.93,-51.04
2,16:45,-4.89,73.62,-8.96,-4.59,99.89,68.33,-90.41
2,17:00,-5.11,73.77,-9.31,-4.88,99.89,67.77,-62.37
2,17:15,-5.29,74.2,-9.42,-5.08,99.9,67.83,-15.19
2,17:30,-5.74,75.53,-9.55,-5.47,99.89,67.47,-11.89
2,17:45,-6.33,76.64,-10.03,-6.06,99.9,67.66,-10.19
2,18:00,-6.82,78.08,-10.29,-6.58,99.9,68.05,-11.35
2,18:15,-7.34,77.86,-10.87,-7.05,99.92,68.03,-10.08
2,18:30,-7.72,78.42,-11.21,-7.45,99.93,67.83,-10.22
2,18:45,-7.97,78.87,-11.47,-7.73,99.93,68.33,-10.23
2,19:00,-8.27,79.17,-11.7,-7.98,99.94,67.52,-10.49
2,19:15,-8.57,80.08,-11.88,-8.32,99.95,68.46,-9.95
2,19:30,-8.87,80.98,-12.12,-8.65,99.96,69.07,-9.91
2,19:45,-9.09,81.77,-12.24,-8.92,99.96,69.17,-10.54
2,20:00,-9.33,83.12,-12.38,-9.21,99.95,68.06,-10.88
2,20:15,-9.5,84.07,-12.48,-9.46,99.95,68.75,-9.99
2,20:30,-9.73,84.21,-12.76,-9.69,99.96,68.79,-8.46
2,20:45,-9.99,83.66,-13,-9.88,99.97,69.39,-9.29
2,21:00,-10.24,83.81,-13.18,-10.08,99.99,68.92,-8.49
2,21:15,-10.45,82.93,-13.57,-10.3,100,68.61,-7.93
2,21:30,-10.59,82.97,-13.78,-10.53,99.99,69.24,-9.39
2,21:45,-10.72,83.69,-13.95,-10.77,99.98,68.66,-11.28
2,22:00,-10.92,83.68,-14.14,-10.97,99.97,69.96,-10.61
2,22:15,-10.99,83.52,-14.25,-11.06,99.97,69.51,-11.09
2,22:30,-11.06,84.84,-14.26,-11.22,99.97,71.07,-8.49
2,22:45,-11.13,83.19,-14.42,-11.12,99.97,69.6,-4.76
2,23:00,-11.23,83.72,-14.44,-11.24,99.96,67.17,-6.99
2,23:15,-11.4,84.39,-14.43,-11.32,99.97,69,-7.44
2,23:30,-11.56,85.34,-14.39,-11.43,99.98,70.61,-6.1
2,23:45,-11.73,86.11,-14.55,-11.7,99.98,70.45,-7.08
3,0:00,-11.89,86.78,-14.66,-11.91,99.97,69.08,-7.79
3,0:15,-12.03,87.17,-14.78,-12.05,99.97,68.47,-6.05
3,0:30,-12.19,87.37,-14.85,-12.16,99.98,67.79,-6.32
3,0:45,-12.33,87.17,-14.99,-12.29,99.98,67.68,-5.85
3,1:00,-12.43,86.8,-15.22,-12.4,99.99,68.48,-5.81
3,1:15,-12.56,86.73,-15.38,-12.58,99.98,67.43,-7.95
3,1:30,-12.69,87.08,-15.48,-12.7,100,66.86,-6.78
3,1:45,-12.8,86.79,-15.63,-12.81,100.01,68.75,-6.43
3,2:00,-12.87,85.92,-15.81,-12.89,100.01,69.17,-6.51
3,2:15,-12.96,85.51,-15.93,-12.95,100.01,69.15,-7.02
3,2:30,-12.98,85.3,-16.07,-13.05,100.02,66.64,-7.55
3,2:45,-12.98,85.42,-16.17,-13.14,100.05,66.53,-6.42
3,3:00,-12.96,85.17,-16.24,-13.14,100.05,65.68,-6.55
3,3:15,-13.06,85.41,-16.25,-13.23,100.06,63.88,-7.77
3,3:30,-13.11,85.97,-16.28,-13.35,100.07,66.19,-7.56
3,3:45,-13.41,87.01,-16.26,-13.46,100.07,68.64,-6.14
3,4:00,-13.65,87.66,-16.34,-13.66,100.08,63.98,-5.77
3,4:15,-13.59,87.94,-16.73,-14.03,100.08,62.26,-7.73
3,4:30,-13.6,88.24,-16.82,-14.12,100.07,63.55,-7.18
3,4:45,-13.83,87.73,-16.83,-14.08,100.08,65.48,-6.87
3,5:00,-14.03,86.18,-17.04,-14.06,100.08,64.46,-5.53
3,5:15,-14.27,85.55,-17.17,-14.14,100.09,65.26,-6.1
3,5:30,-14.52,85.67,-17.42,-14.39,100.09,63.46,-6.81
3,5:45,-14.56,85.15,-17.62,-14.51,100.07,65.03,-7.18
3,6:00,-14.7,85.1,-17.74,-14.62,100.07,65.52,-8.73
3,6:15,-14.77,85.79,-17.88,-14.85,100.08,64.56,-7.13
3,6:30,-14.94,85.84,-18.09,-15.04,100.09,64.98,-5.42
3,6:45,-15.08,85.62,-18.22,-15.15,100.1,64.17,-7.37
3,7:00,-15.18,85.37,-18.45,-15.33,100.09,64.98,-7.58
3,7:15,-15.42,86.59,-18.36,-15.4,100.09,67,-5.74
3,7:30,-15.58,87.28,-18.44,-15.53,100.11,71.73,-1.13
3,7:45,-15.49,86.39,-18.53,-15.53,100.12,106.41,24.99
3,8:00,-15.47,86.16,-18.55,-15.47,100.13,170.62,51.84
3,8:15,-15.23,85.07,-18.32,-15.14,100.14,215.24,71.89
3,8:30,-14.97,82.06,-18.28,-14.75,100.15,251.62,88.94
3,8:45,-14.76,80.65,-18.36,-14.59,100.15,296.74,105.78
3,9:00,-14.17,79.36,-17.87,-13.94,100.18,343.84,124.69
3,9:15,-13.71,76.81,-17.75,-13.4,100.2,377.94,145.73
3,9:30,-13.18,74.28,-17.52,-12.81,100.23,401.89,182.93
3,9:45,-12.72,72.01,-17.43,-12.3,100.26,430.77,241.7
3,10:00,-12.47,69.79,-17.55,-12.02,100.28,468.12,273.09
3,10:15,-11.9,65.82,-17.5,-11.34,100.28,514.95,235.38
3,10:30,-11.59,63.81,-17.59,-11.02,100.29,540.7,210.06
3,10:45,-11.11,60.33,-17.67,-10.44,100.28,560.07,202.4
3,11:00,-10.81,54.81,-18.37,-10.06,100.28,554.68,185.18
3,11:15,-10.69,55.06,-18.21,-9.99,100.25,548.76,196.03
3,11:30,-10.51,50.55,-18.89,-9.68,100.24,538.46,183.06
3,11:45,-10.29,47,-19.52,-9.48,100.24,532.3,172.43
3,12:00,-10.02,47.67,-19.17,-9.25,100.23,531.07,179.94
3,12:15,-9.74,46.68,-19.05,-8.92,100.22,529.55,178.64
3,12:30,-9.45,44.02,-19.46,-8.66,100.19,524.63,167.84
3,12:45,-9.21,43.58,-19.32,-8.42,100.17,514.09,160.28
3,13:00,-8.78,43.64,-18.9,-7.99,100.15,495.86,148.96
3,13:15,-8.26,46.65,-17.64,-7.49,100.13,473.03,145.59
3,13:30,-8.06,49.22,-16.81,-7.32,100.14,453.88,133.97
3,13:45,-7.8,47.18,-17.02,-7.01,100.13,440.47,131.14
3,14:00,-7.49,44.95,-17.3,-6.7,100.13,422.22,122.2
3,14:15,-7.53,41.85,-18.18,-6.76,100.14,395.96,99.67
3,14:30,-7.38,40.99,-18.31,-6.63,100.14,363.69,95.91
3,14:45,-7.12,44.89,-17.08,-6.44,100.16,328.14,84.06
3,15:00,-7.19,48.18,-16.29,-6.48,100.16,294.02,64.14
3,15:15,-7.18,50.84,-15.68,-6.49,100.16,255.2,54.96
3,15:30,-7.28,51.02,-15.78,-6.65,100.17,215.37,31.75
3,15:45,-7.23,49.41,-16.2,-6.66,100.17,178.56,7.39
3,16:00,-7.3,48.48,-16.51,-6.78,100.16,142.53,-17.73
3,16:15,-7.32,50.49,-16.1,-6.88,100.16,107.98,-34.2
3,16:30,-7.55,53.31,-15.75,-7.2,100.15,75.82,-81.23
3,16:45,-7.78,56.9,-15.27,-7.51,100.12,62.96,-126.47
3,17:00,-7.9,58.02,-15.12,-7.65,100.1,61.71,-30.61
3,17:15,-8,59.4,-14.99,-7.77,100.09,59,-14.85
3,17:30,-8.12,60.77,-14.85,-7.91,100.08,60.66,-12.8
3,17:45,-8.17,62.85,-14.61,-8.1,100.05,60.4,-12.59
3,18:00,-8.24,66,-14.21,-8.3,100.04,61.41,-11.6
3,18:15,-8.1,66.94,-13.96,-8.14,100.03,61.11,-9.79
3,18:30,-8.08,67.64,-13.72,-8.07,100.02,61.74,-11.05
3,18:45,-8.09,68.38,-13.58,-8.05,100,60.8,-10.64
3,19:00,-7.98,69.63,-13.4,-8.04,99.98,61.28,-10.82
3,19:15,-7.89,71.73,-12.97,-7.99,99.98,60.3,-10.74
3,19:30,-7.81,73.11,-12.63,-7.96,99.99,60.8,-11.33
3,19:45,-7.62,74.03,-12.27,-7.76,99.99,60.92,-9.62
3,20:00,-7.72,74.6,-12.3,-7.81,99.99,59.95,-11.14
3,20:15,-7.71,75.73,-12.14,-7.92,99.99,59.29,-11.29
3,20:30,-7.78,76.44,-12.11,-8.01,99.98,59.83,-11.38
3,20:45,-7.76,77.42,-12.11,-8.12,99.97,59.96,-11.59
3,21:00,-7.59,78.17,-11.93,-8.06,99.95,60.92,-10.75
3,21:15,-7.59,78.58,-11.78,-7.99,99.93,59.98,-10.57
3,21:30,-7.28,79.23,-11.46,-7.79,99.93,58.46,-10.31
3,21:45,-7.14,78.8,-11.26,-7.49,99.92,59.23,-10.07
3,22:00,-6.97,78.28,-11.06,-7.28,99.91,58.37,-9.83
3,22:15,-6.85,77.55,-11.05,-7.11,99.91,58,-9.92
3,22:30,-6.94,77.09,-10.99,-7.03,99.92,59.09,-10.41
3,22:45,-7.01,77.35,-11,-7.08,99.92,57.92,-10.8
3,23:00,-6.97,77.62,-10.89,-7.07,99.91,59.71,-10.6
3,23:15,-7.02,78,-10.93,-7.11,99.9,58.32,-10.55
3,23:30,-6.99,78.24,-10.91,-7.11,99.89,58.8,-10.02
3,23:45,-7.08,78.1,-10.91,-7.13,99.87,57.96,-9.97
4,0:00,-7.04,78.24,-10.96,-7.15,99.87,58.5,-10.28
4,0:15,-7.12,78.79,-10.94,-7.24,99.84,57.47,-10.12
4,0:30,-7.19,79.79,-10.86,-7.29,99.82,58.4,-9.59
4,0:45,-7.16,80.38,-10.69,-7.23,99.81,57.39,-8.84
4,1:00,-7.07,80.75,-10.51,-7.13,99.79,58.49,-8.66
4,1:15,-6.92,81.16,-10.41,-7.07,99.77,57.6,-9.1
4,1:30,-6.81,80.5,-10.36,-6.95,99.78,58.3,-10.14
4,1:45,-6.91,80.82,-10.35,-6.99,99.77,57.32,-10.86
4,2:00,-6.85,81.35,-10.36,-7.03,99.77,57.22,-10.65
4,2:15,-6.86,81.84,-10.2,-7.04,99.75,57.73,-10.17
4,2:30,-6.84,81.73,-10.15,-6.9,99.75,57.63,-9.71
4,2:45,-6.7,81.63,-9.94,-6.72,99.75,57.63,-9.92
4,3:00,-6.6,81.91,-9.78,-6.6,99.74,57.91,-9.86
4,3:15,-6.49,82.29,-9.61,-6.5,99.73,57.48,-10.37
4,3:30,-6.43,82.14,-9.49,-6.38,99.72,57.18,-10.27
4,3:45,-6.43,82.6,-9.45,-6.44,99.7,59.04,-11.11
4,4:00,-6.48,83.17,-9.44,-6.51,99.68,57.31,-10.92
4,4:15,-6.56,83.57,-9.48,-6.56,99.66,57.56,-10.85
4,4:30,-6.62,84.13,-9.45,-6.62,99.66,56.73,-10.94
4,4:45,-6.51,84.65,-9.4,-6.62,99.64,57.61,-10.59
4,5:00,-6.5,84.71,-9.26,-6.55,99.64,57.61,-10.51
4,5:15,-6.46,84.81,-9.29,-6.51,99.61,57.11,-11.02
4,5:30,-6.37,84.66,-9.14,-6.41,99.6,55.56,-11.25
4,5:45,-6.24,84.89,-9.01,-6.31,99.59,57.05,-11.29
4,6:00,-6.3,84.88,-8.97,-6.27,99.59,60.07,-11.45
4,6:15,-6.18,84.62,-8.93,-6.18,99.56,60.75,-10.5
4,6:30,-6.12,84.01,-8.82,-6.04,99.55,60.3,-10.83
4,6:45,-6.09,84.15,-8.77,-5.97,99.54,61.94,-11.04
4,7:00,-6.12,84.17,-8.79,-5.96,99.52,61.72,-11.22
4,7:15,-6.14,84.78,-8.7,-6.02,99.5,61.9,-10.91
4,7:30,-6.12,85.09,-8.65,-6,99.48,68.19,-7.42
4,7:45,-6.04,85,-8.56,-5.89,99.46,84.01,3.49
4,8:00,-5.86,84.48,-8.4,-5.67,99.46,129.89,34.65
4,8:15,-5.53,83.49,-8.15,-5.35,99.45,181.26,84.71
4,8:30,-5.21,81.98,-7.97,-5.01,99.44,208.78,129.33
4,8:45,-4.93,80.35,-7.83,-4.67,99.45,256.58,199.81
4,9:00,-4.53,78.44,-7.63,-4.18,99.45,310.85,187.35
4,9:15,-4.39,77.09,-7.69,-3.95,99.46,269.54,81.91
4,9:30,-4.42,77.55,-7.6,-3.95,99.45,255.48,69.09
4,9:45,-3.97,75.86,-7.45,-3.46,99.45,399.79,161.04
4,10:00,-3.72,74.47,-7.31,-3.13,99.45,424.42,143.45
4,10:15,-3.39,72.86,-7.23,-2.75,99.44,499.96,169.23
4,10:30,-3.18,72.33,-7.01,-2.48,99.42,464.66,127.32
4,10:45,-3.12,72.42,-6.93,-2.44,99.4,390.33,97.67
4,11:00,-2.75,71.24,-6.63,-2,99.36,534.66,168.16
4,11:15,-2.35,69.92,-6.53,-1.65,99.35,537.95,166.47
4,11:30,-2.24,70.64,-6.22,-1.53,99.33,436.83,110.02
4,11:45,-2.06,71.23,-5.95,-1.38,99.28,419.62,110.03
4,12:00,-1.74,71.48,-5.54,-1.06,99.23,431.21,116.63
4,12:15,-1.75,72.12,-5.51,-1.1,99.17,388.48,84.71
4,12:30,-1.51,72.23,-5.17,-0.81,99.11,419.82,105.77
4,12:45,-1.45,73.18,-4.97,-0.8,99.06,389.12,79.79
4,13:00,-1.24,72.21,-4.97,-0.61,99.03,341.02,53.84
4,13:30,-1.07,71.92,-4.77,-0.47,98.89,332.3,-7.97
4,13:45,-0.92,71.63,-4.74,-0.35,98.86,308.32,-123.79
4,14:00,-0.75,70.38,-4.85,-0.17,98.86,277.16,-34.66
4,14:15,-0.61,69.43,-4.83,-0.04,98.83,292.75,-36.96
4,14:30,-0.45,68.45,-4.88,0.11,98.81,287.48,-35.48
4,14:45,-0.4,67.63,-5,0.16,98.8,243.94,-51.55
4,15:00,-0.48,68,-5.09,0.03,98.78,214.18,-47.61
4,15:15,-0.6,69.02,-5.01,-0.12,98.77,158.46,-36.27
4,15:30,-0.77,70.54,-4.91,-0.32,98.74,145.29,-37.12
4,15:45,-1.11,74.59,-4.5,-0.66,98.69,122.3,-37.01
4,16:00,-1.39,77.71,-4.34,-0.97,98.63,93.23,-37.75
4,16:15,-1.52,78.05,-4.5,-1.12,98.57,74.33,-36.55
4,16:30,-1.63,78.59,-4.58,-1.27,98.52,60.84,-35.53
4,16:45,-1.64,78.34,-4.62,-1.31,98.47,54.67,-33.19
4,17:00,-1.56,76.98,-4.78,-1.24,98.41,53.78,-31.42
4,17:15,-1.43,75.96,-4.83,-1.11,98.37,53.93,-31.2
4,17:30,-1.34,75.09,-4.89,-1.03,98.34,54.41,-30.72
4,17:45,-1.32,74.83,-4.88,-1,98.33,53.26,-32.01
4,18:00,-1.38,75.88,-4.69,-1.05,98.27,53.39,-28.54
4,18:15,-1.33,75.36,-4.83,-0.99,98.26,54.53,-28.39
4,18:30,-1.32,75.48,-4.77,-0.99,98.27,54.12,-28.35
4,18:45,-1.02,73.26,-4.91,-0.78,98.25,53.96,-30.62
4,19:00,-0.77,71.26,-4.99,-0.49,98.24,53.87,-32.22
4,19:15,-0.74,72.17,-4.8,-0.48,98.24,53.89,-34.2
4,19:30,-0.65,72.52,-4.62,-0.38,98.24,53.39,-30.35
4,19:45,-0.5,72.61,-4.47,-0.23,98.21,53.46,-26.3
4,20:00,-0.31,71.69,-4.41,0,98.18,53.73,-30.66
4,20:15,-0.29,71.68,-4.33,0.02,98.16,52.97,-37.92
4,20:30,-0.35,72.29,-4.3,-0.09,98.14,53.23,-44.21
4,20:45,-0.36,72.46,-4.35,-0.11,98.11,53.59,-37.33
4,21:00,-0.18,71.33,-4.39,0.08,98.07,53.05,-27.71
